z_dyn_1,z_dyn_2,z_dyn_3,z_dyn_4,z_dyn_5,z_dyn_6,z_dyn_7,z_dyn_8,z_pk_1,z_pk_2,z_pk_3,z_pk_4
-0.905300796,-0.193461776,-0.389449447,0.676713049,-0.167134345,0.162908614,-0.087127522,0.950007796,0.002936124,0.027589077,0.026421119,0.037151441
-0.952516794,-0.09888415,-0.440223455,0.711779833,-0.079191282,0.74921751,0.228792191,1.247508407,-0.008982294,0.043074153,0.013593543,0.019104091
-0.276132286,-0.041427106,-0.317170888,0.489419818,-0.005648861,0.816782415,0.860498667,1.338515401,-0.016055906,0.035286434,0.012119342,0.021819366
-0.020555645,-0.247021735,-0.170015097,0.387199223,-0.159388661,-0.359924674,0.395706475,0.747836709,-0.017138282,0.034752473,0.009335864,0.017849704
-0.70704174,-0.231754109,-0.328468114,0.603557169,-0.195695758,-0.13269116,-0.085376658,0.81463474,-0.012675145,0.044503562,0.010677565,0.015972471
-0.328519821,-0.124985978,-0.288702607,0.503069103,-0.066837996,0.418398499,0.582582116,1.128913641,-0.015972765,0.037701793,0.011271287,0.019944286
0.411802888,0.157326087,-0.290829122,0.261719704,0.127140939,1.457693577,1.792042851,1.724379063,-0.021851929,0.033080027,0.009235431,0.020472808
-0.614001632,-0.139565691,-0.343835086,0.594949961,-0.094969317,0.421932817,0.333892941,1.109941363,-0.013894306,0.041026287,0.011221755,0.018140731
-1.374763131,-0.162908241,-0.517408848,0.830627799,-0.165127292,0.471370816,-0.336296469,1.056422114,6.31425064057112e-05,0.044499628,0.019587744,0.024154266
-0.263579071,0.052926511,-0.363261849,0.486892074,0.052006498,1.249320984,1.122530222,1.564142942,-0.013255403,0.032851964,0.012770224,0.021875894
-0.66900444,-0.191853359,-0.333858699,0.602708995,-0.148264006,0.124188751,0.105358496,0.952278674,-0.010879361,0.032123253,0.017890442,0.028654179
-0.513402104,-0.23753418,-0.28242439,0.542667389,-0.188267633,-0.2116777,0.044363715,0.790223837,-0.002597162,0.030949848,0.023663569,0.034880742
-0.588604808,-0.169717461,-0.325250357,0.581767499,-0.121489987,0.23768191,0.245930761,1.017113447,-0.012009465,0.037939884,0.013787616,0.021987049
-0.850164652,-0.121188134,-0.405412078,0.674303353,-0.093026489,0.591695249,0.224741474,1.17719388,-0.006820374,0.032454722,0.01750635,0.026475733
-0.852895498,-0.106727712,-0.412281632,0.677236378,-0.080372512,0.676206946,0.273434013,1.220262647,-0.006148056,0.03351941,0.017323066,0.025593719
0.842591643,0.213917479,-0.250636756,0.124043107,0.16131492,1.545552969,2.180771112,1.803281188,-0.022710236,0.029276123,0.010167349,0.023187367
-0.088376552,-0.279691488,-0.172852784,0.401328892,-0.201164082,-0.557293594,0.220228732,0.640348196,-0.010295243,0.0292209,0.016597379,0.027419014
-0.695622504,-0.035814255,-0.410437047,0.630719662,-0.020760698,0.988660872,0.599832535,1.394436479,-0.012888574,0.032529131,0.015851248,0.026310546
-1.099086404,-0.090953484,-0.477765203,0.76014185,-0.080417782,0.839297414,0.150587022,1.279492378,-0.010090501,0.043451868,0.012927581,0.017927779
-1.652006984,-0.197371706,-0.582309783,0.892083824,-0.233035177,0.243620276,-0.761734843,0.892852247,-0.001274453,0.061192892,0.011395324,0.008018872
-0.119784772,0.074377947,-0.34523043,0.437999427,0.068510592,1.289826632,1.265194416,1.596672416,-0.020120377,0.037034802,0.008963633,0.017797282
-0.009339333,0.114017397,-0.345626712,0.401506364,0.09362027,1.424608827,1.433113813,1.67583549,-0.017476948,0.030262498,0.013306547,0.02547968
-0.879207015,-0.117538832,-0.413863242,0.684596658,-0.090891212,0.623455942,0.218070716,1.190614462,-0.013701067,0.048121713,0.008281399,0.011814868
-0.245943606,-0.078398645,-0.292900443,0.478392363,-0.02817433,0.630649507,0.778106034,1.24414444,-0.01958465,0.038695067,0.008497644,0.016428953
-0.164534807,-0.006319445,-0.31256026,0.453025609,0.02130734,0.943959832,1.029182553,1.411772132,-0.02066827,0.041831784,0.006391753,0.013514837
-0.508161664,-0.150430396,-0.315801084,0.558883905,-0.098740615,0.328754306,0.372002721,1.070159435,-0.01113733,0.029240249,0.018540848,0.030330678
-0.944057584,-0.12593551,-0.425602973,0.704835713,-0.100738876,0.598909974,0.144849569,1.17126894,-0.008851626,0.036548026,0.016745377,0.02491915
-0.032129526,-0.376486301,-0.141512662,0.349963784,-0.330875695,-1.286368847,-0.16627115,0.249648109,-0.006348104,0.043272458,0.016650427,0.022104552
0.062116325,0.135070518,-0.34274739,0.376816392,0.10560374,1.486625552,1.52560544,1.714801788,-0.015583382,0.031361185,0.011827398,0.021804644
0.068954885,0.081097096,-0.311575145,0.374455154,0.078552455,1.249894977,1.398229241,1.589217067,-0.021207141,0.03555996,0.008776773,0.018341852
-0.315209925,0.062622845,-0.378909588,0.504443526,0.055533726,1.311414003,1.115196586,1.59305656,-0.016424151,0.036109202,0.011579324,0.020975506
-1.407910943,-0.193256855,-0.51592344,0.826723814,-0.206179634,0.250645876,-0.511520565,0.935881019,0.005190059,0.041396171,0.024508674,0.030066064
0.507121086,0.161796033,-0.276440233,0.230289817,0.1313833,1.441723108,1.859286427,1.722357273,-0.020663025,0.025904907,0.013347793,0.027443921
-0.651913524,-0.087737054,-0.376093715,0.613245785,-0.055000298,0.714275718,0.475074291,1.25683105,-0.009116591,0.032129876,0.018305529,0.029083339
-0.423483402,-0.039526477,-0.349521577,0.539345801,-0.01075013,0.877315402,0.770007551,1.35881722,-0.018683286,0.044608377,0.006421614,0.011999389
0.106348589,-0.390698791,-0.107283622,0.306737721,-0.334915996,-1.392091513,-0.102456674,0.202408373,-0.019178735,0.042807721,0.00706904,0.013721665
-0.806075335,-0.213076085,-0.358799249,0.640525222,-0.180831939,0.015704691,-0.085468978,0.882637799,-0.013261468,0.048326239,0.008593012,0.012089824
-1.202313662,-0.149413377,-0.478818625,0.78204602,-0.139597356,0.520308375,-0.141517341,1.103390574,-0.008369722,0.044352002,0.014137018,0.018769598
-1.054180861,-0.217147797,-0.417225778,0.712383687,-0.207911551,0.020052239,-0.316498637,0.859708011,-0.002887779,0.039202437,0.017493296,0.023192128
-0.632466793,-0.105568022,-0.363016784,0.604841769,-0.06805443,0.612965226,0.431745082,1.207025528,-0.016536506,0.047301315,0.006672788,0.010775408
-0.913991213,-0.203330681,-0.388205349,0.675879717,-0.180774763,0.090044394,-0.140098274,0.911384583,-0.002282501,0.03671886,0.021100391,0.029314449
-0.564583421,-0.217827022,-0.30067113,0.56409651,-0.168160766,-0.063746907,0.086938433,0.863075376,-0.012880885,0.034631394,0.015394796,0.025069749
-0.703541875,-0.119770184,-0.372605324,0.626577854,-0.083705142,0.556206882,0.334605724,1.171803951,-0.008099088,0.032865964,0.018738259,0.029145015
-0.583930492,-0.045356046,-0.381974757,0.593650401,-0.021104962,0.907408357,0.649506211,1.361146092,-0.014682346,0.038084529,0.012046743,0.020309074
-0.824343204,-0.160147682,-0.382634401,0.658949494,-0.127876967,0.352975041,0.103273228,1.056955457,-0.010347367,0.036299899,0.015834678,0.024235798
-0.608174562,-0.212048605,-0.312937617,0.579465091,-0.164499044,-0.014972642,0.076863207,0.884472013,-0.017153936,0.046065085,0.006969739,0.01185911
-0.995479226,-0.178017676,-0.416639715,0.709152818,-0.156338006,0.285549909,-0.094953097,1.004817843,-0.001072788,0.029175112,0.025639612,0.037097439
-0.289260119,0.07481119,-0.379737973,0.495215774,0.062681384,1.354146719,1.161196113,1.617579341,-0.015683034,0.028615093,0.015548814,0.028448423
-0.833861649,-0.187754765,-0.374357164,0.655956745,-0.155892208,0.18441844,-0.007768668,0.968446612,-0.009710536,0.034342915,0.017558683,0.027045457
-0.797728777,-0.095884174,-0.40486449,0.66038847,-0.06954316,0.713941574,0.345691562,1.244695783,-0.010043212,0.040275462,0.011892963,0.017370215
-0.559914827,-0.146973297,-0.328431368,0.576129317,-0.098520398,0.363888621,0.347189009,1.084506989,-0.011874818,0.034740694,0.015424717,0.025084449
-1.243103743,-0.161560789,-0.484946012,0.790969193,-0.156693771,0.443393886,-0.228369653,1.058543324,-0.002836042,0.040718354,0.01911645,0.025387457
